iter	RMSE
525	5.331456769
526	5.331430398
527	5.33098277
528	5.330898537
529	5.330864234
530	5.330846216
531	5.330669471
532	5.330497063
533	5.330297637
534	5.330079273
535	5.330065459
536	5.329416313
537	5.328890259
538	5.328879433
539	5.328440082
540	5.328385721
541	5.328108375
542	5.327827671
543	5.32736178
544	5.327305785
545	5.327152175
546	5.326760913
547	5.326539759
548	5.326524143
549	5.32629273
550	5.326051396
551	5.326037319
552	5.325907044
553	5.325897251
554	5.325884466
555	5.325720626
556	5.325095031
557	5.324583088
558	5.324176012
559	5.323704596
560	5.323511568
561	5.323227186
562	5.323030239
563	5.322982637
564	5.322673722
565	5.322669673
566	5.322605089
567	5.322561366
568	5.322396619
569	5.322377107
570	5.322101274
571	5.321866458
572	5.321401576
573	5.32095096
574	5.320755118
575	5.32005241
576	5.319950484
577	5.319784286
578	5.319548855
579	5.319134393
580	5.318569873
581	5.318288579
582	5.318117752
583	5.318018228
584	5.317553151
585	5.317205227
586	5.317036275
587	5.316739808
588	5.315815517
589	5.315441053
590	5.315406816
591	5.315012391
592	5.314950088
593	5.31493605
594	5.314495957
595	5.313955507
596	5.313549706
597	5.313532511
598	5.313371785
599	5.313312415
600	5.313286002
601	5.313132221
602	5.312964179
603	5.312780998
604	5.312627012
605	5.312509963
606	5.312454428
607	5.312318444
608	5.312295871
609	5.312185508
610	5.312064333
611	5.31193383
612	5.311922549
613	5.311600096
614	5.311357409
615	5.311187626
616	5.310989175
617	5.310586016
618	5.310578338
619	5.310270815
620	5.310034076
621	5.30970623
622	5.309647965
623	5.30933451
624	5.30920982
625	5.308866537
626	5.308660326
627	5.308444653
628	5.308288183
629	5.308248077
630	5.308161085
631	5.307882839
632	5.307576627
633	5.307120738
634	5.30703403
635	5.306820468
636	5.306412554
637	5.305895521
638	5.305756801
639	5.305717471
640	5.305585756
641	5.305441084
642	5.30530089
643	5.305022531
644	5.304586684
645	5.304411505
646	5.304302418
647	5.304158333
648	5.30410378
649	5.303852499
650	5.303511945
651	5.303273009
652	5.303156023
653	5.302694583
654	5.302439561
655	5.302368288
656	5.302326351
657	5.302298083
658	5.302223149
659	5.30222248
660	5.301921892
661	5.30192112
662	5.301862585
663	5.301321206
664	5.300912903
665	5.300731527
666	5.300712762
667	5.300406077
668	5.300392321
669	5.300371227
670	5.300133164
671	5.299916453
672	5.299368877
673	5.299003918
674	5.298997124
675	5.29876099
676	5.298663149
677	5.298642975
678	5.298637189
679	5.298626537
680	5.298590046
681	5.298578757
682	5.298567121
683	5.298452414
684	5.298244633
685	5.297952313
686	5.297692468
687	5.297682393
688	5.297203328
689	5.297116856
690	5.296843787
691	5.296522679
692	5.296234426
693	5.296082588
694	5.295518297
695	5.295061102
696	5.29491173
697	5.294735774
698	5.29472755
699	5.29438522
700	5.294119962
701	5.293965848
702	5.293921807
703	5.293881976
704	5.293533213
705	5.293508333
706	5.293160447
707	5.293153196
708	5.292927468
709	5.292813323
710	5.292157648
711	5.292125019
712	5.292052879
713	5.292015291
714	5.291795992
715	5.291619444
716	5.291562908
717	5.291126607
718	5.2910485
719	5.290260696
720	5.289955398
721	5.289677179
722	5.289311339
723	5.289169045
724	5.289078803
725	5.289074546
726	5.288971612
727	5.288769395
728	5.288495038
729	5.28836846
730	5.28832752
731	5.288005069
732	5.287815995
733	5.287666017
734	5.287663451
735	5.287580674
736	5.287311258
737	5.287244733
738	5.286690751
739	5.286542682
740	5.286404955
741	5.285709065
742	5.285564156
743	5.285545162
744	5.285500576
745	5.285325877
746	5.285209944
747	5.284739648
748	5.284492238
749	5.284192554
750	5.283851655
751	5.283597123
752	5.283448889
753	5.283362795
754	5.283222454
755	5.283187109
756	5.28311656
757	5.283112377
758	5.282905402
759	5.282875268
760	5.282246845
761	5.282123538
762	5.281941962
763	5.281358318
764	5.28091702
765	5.280784248
766	5.280539897
767	5.280325135
768	5.279894855
769	5.279888461
770	5.279114703
771	5.278985821
772	5.278826345
773	5.278648563
774	5.27841709
775	5.278413537
776	5.278315581
777	5.278244788
778	5.278235016
779	5.27822987
780	5.27789698
781	5.2777569
782	5.277742576
783	5.277683266
784	5.277567292
785	5.277418947
786	5.277263443
787	5.277015059
788	5.276743628
789	5.276560845
790	5.27642304
791	5.276106548
792	5.275933171
793	5.27570983
794	5.275463638
795	5.275190851
796	5.274991759
797	5.274960372
798	5.274821336
799	5.274696593
800	5.274542769
801	5.274084007
802	5.273721697
803	5.273379797
804	5.273091523
805	5.272916906
806	5.272663942
807	5.272584382
808	5.272315307
809	5.272288215
810	5.272012018
811	5.271816454
812	5.271649202
813	5.27160417
814	5.271430198
815	5.271424972
816	5.271304526
817	5.271288987
818	5.271233759
819	5.271154767
820	5.271010194
821	5.270779367
822	5.269649148
823	5.269608352
824	5.269601674
825	5.269431227
826	5.269359879
827	5.26904959
828	5.268974116
829	5.268954652
830	5.268890248
831	5.268865838
832	5.268728627
833	5.268679764
834	5.268630694
835	5.267939571
836	5.267841361
837	5.267545063
838	5.267525229
839	5.267439021
840	5.267427761
841	5.267260475
842	5.266973215
843	5.266882491
844	5.266851394
845	5.266843146
846	5.266653203
847	5.266559886
848	5.266513626
849	5.266091079
850	5.265989933
851	5.265987606
852	5.265884281
853	5.265632762
854	5.265310748
855	5.26522941
856	5.265048795
857	5.264962879
858	5.264935964
859	5.264899451
860	5.264653463
861	5.264325144
862	5.263941697
863	5.263884173
864	5.26355826
865	5.263490047
866	5.263112595
867	5.263064696
868	5.262849036
869	5.262763818
870	5.262487861
871	5.26228898
872	5.262234761
873	5.262217523
874	5.261804382
875	5.261621154
876	5.261326766
877	5.261016424
878	5.260932238
879	5.260544052
880	5.26050619
881	5.26029749
882	5.260185146
883	5.260046418
884	5.260028588
885	5.259569853
886	5.259071541
887	5.258637882
888	5.258518314
889	5.258381373
890	5.258177932
891	5.258125176
892	5.257761214
893	5.257514163
894	5.257509638
895	5.257439853
896	5.257213937
897	5.257172073
898	5.257040862
899	5.25703253
900	5.256816823
901	5.256734529
902	5.256621107
903	5.256446556
904	5.256431068
905	5.256391385
906	5.256074149
907	5.255699404
908	5.255663194
909	5.255447441
910	5.255236366
911	5.254798084
912	5.25461887
913	5.25410774
914	5.253830054
915	5.253747195
916	5.253712053
917	5.253511437
918	5.253508499
919	5.253393743
920	5.253391178
921	5.253217637
922	5.253072595
923	5.252971335
924	5.252490728
925	5.252479423
926	5.252265157
927	5.25224258
928	5.25216698
929	5.252118378
930	5.252108836
931	5.252089464
932	5.252044115
933	5.251885894
934	5.251715408
935	5.251543246
936	5.251173778
937	5.251120347
938	5.250986501
939	5.250976494
940	5.250894614
941	5.250813859
942	5.250650196
943	5.250513228
944	5.250089149
945	5.250081222
946	5.249922032
947	5.24981567
948	5.249750296
949	5.24924236
950	5.249101779
951	5.249003366
952	5.248979448
953	5.248567417
954	5.248376527
955	5.248128139
956	5.248026526
957	5.247423427
958	5.247344908
959	5.24704645
960	5.246998396
961	5.246881081
962	5.246867876
963	5.246694895
964	5.246672632
965	5.246672006
966	5.24664307
967	5.246522479
968	5.246454054
969	5.246111899
970	5.246034869
971	5.245848515
972	5.24555764
973	5.245342471
974	5.245021072
975	5.24485581
976	5.244763714
977	5.244750295
978	5.244743974
979	5.244741871
980	5.244576779
981	5.244399892
982	5.244322849
983	5.244195965
984	5.244079458
985	5.244029805
986	5.24355063
987	5.243338932
988	5.243265814
989	5.243226969
990	5.243184093
991	5.243008067
992	5.24281682
993	5.242690683
994	5.242601498
995	5.242549639
996	5.242526949
997	5.242438925
998	5.242393067
999	5.242391329
