iter	Passed	Remaining
361	527424	929549
362	528844	928027
363	530587	927070
364	532063	925643
365	533436	924039
366	534765	922361
367	536078	920657
368	537336	918860
369	538617	917105
370	539870	915305
371	541105	913478
372	542674	912216
373	544086	910690
374	545125	908542
375	546710	907307
376	548437	906303
377	549771	904649
378	550810	902515
379	551808	900319
380	553618	899449
381	554841	897623
382	555929	895584
383	557475	894282
384	559087	893087
385	560583	891704
386	561727	889764
387	562969	887983
388	564392	886487
389	565819	885000
390	567132	883333
391	568422	881634
392	569538	879669
393	571373	878813
394	572735	877228
395	574514	876279
396	576294	875328
397	578034	874313
398	579348	872653
399	580731	871096
400	582154	869601
401	583612	868160
402	585212	866927
403	586426	865124
404	587508	863129
405	588947	861661
406	590404	860220
407	592421	859591
408	594083	858442
409	596112	857820
410	597087	855679
411	599257	855251
412	600782	853896
413	602721	853127
414	604485	852105
415	606549	851501
416	608244	850375
417	609905	849198
418	611585	848046
419	613139	846716
420	614491	845107
421	616436	844313
422	618222	843297
423	619823	842024
424	621928	841432
425	623226	839746
426	624663	838249
427	626352	837087
428	627687	835453
429	629287	834171
430	630369	832204
431	632301	831359
432	633802	829944
433	635250	828460
434	636768	827067
435	638149	825495
436	640037	824579
437	641276	822825
438	642738	821357
439	644379	820119
440	645834	818643
441	647278	817152
442	648589	815495
443	649820	813739
444	650928	811831
445	652002	809886
446	653674	808684
447	656112	808423
448	657507	806874
449	658137	804390
450	659576	802899
451	661078	801484
452	662153	799554
453	663432	797872
454	664818	796321
455	665958	794476
456	667524	793141
457	668813	791477
458	670460	790237
459	671943	788803
460	673897	787919
461	676050	787261
462	677241	785483
463	678779	784107
464	680586	783040
465	682118	781655
466	683479	780073
467	684748	778388
468	686179	776890
469	687434	775192
470	688829	773653
471	690070	771943
472	691646	770607
473	692909	768925
474	694210	767285
475	696263	766474
476	698616	765987
477	700608	765099
478	702240	763814
479	703689	762330
480	705520	761257
481	706886	759683
482	708051	757893
483	710104	757054
484	711797	755826
485	713657	754773
486	715059	753234
487	716457	751692
488	717481	749760
489	718881	748223
490	720298	746704
491	721703	745173
492	722979	743510
493	724414	742011
494	726042	740709
495	727655	739391
496	729459	738265
497	731018	736890
498	732471	735407
499	733855	733855
500	735011	732077
501	736275	730408
502	738135	729330
503	739835	728092
504	740931	726259
505	741394	723811
506	742867	722354
507	744408	720962
508	745663	719294
509	747081	717784
510	748552	716325
511	749742	714598
512	750998	712935
513	752296	711315
514	753810	709899
515	755393	708547
516	757140	707348
517	758592	705872
518	760082	704430
519	761302	702741
520	762502	701034
521	764114	699706
522	765797	698442
523	766828	696584
524	767931	694795
525	769403	693340
526	770774	691795
527	772334	690420
528	773764	688928
529	775022	687284
530	776140	685517
531	777540	684001
532	779429	682914
533	781138	681667
534	782272	679919
535	783856	678562
536	785374	677148
537	786938	675772
538	788569	674453
539	790289	673209
540	791981	671940
541	793447	670478
542	794690	668827
543	796435	667600
544	797815	666066
545	799186	664524
546	800551	662979
547	801683	661242
548	802352	659127
549	803779	657637
550	805342	656259
551	805847	654021
552	807004	652316
553	808382	650791
554	809375	648959
555	810912	647563
556	812580	646271
557	813879	644685
558	815467	643329
559	817706	642483
560	819417	641219
561	821800	640477
562	823176	638948
563	824461	637350
564	825828	635814
565	826896	634051
566	828674	632832
567	829877	631174
568	831254	629649
569	832271	627854
570	834312	626829
571	836268	625739
572	838122	624569
573	839832	623290
574	841265	621804
575	842830	620416
576	844918	619411
577	847300	618617
578	848792	617170
579	850319	615748
580	852012	614446
581	853869	613259
582	854969	611530
583	856425	610056
584	858159	608779
585	859344	607113
586	860382	605345
587	862298	604195
588	863825	602771
589	865408	601385
590	866625	599745
591	868194	598350
592	869378	596689
593	870134	594738
594	871768	593388
595	872890	591690
596	874883	590583
597	875872	588796
598	877848	587674
599	879126	586084
600	879886	584151
601	882074	583165
602	883596	581737
603	885494	580555
604	887630	579527
605	889390	578250
606	890724	576696
607	892267	575277
608	893276	573515
609	893902	571511
610	895305	570006
611	897129	568768
612	898316	567126
613	899801	565673
614	901401	564291
615	903381	563146
616	906198	562518
617	907784	561122
618	909461	559781
619	911436	558622
620	912754	557059
621	914628	555835
622	916202	554427
623	918221	553287
624	919217	551530
625	921055	550278
626	922887	549022
627	925089	547982
628	926849	546678
629	928532	545328
630	930277	544013
631	931714	542517
632	934117	541581
633	936125	540413
634	937777	539037
635	939972	537971
636	941891	536744
637	943831	535528
638	945301	534043
639	946762	532553
640	948523	531232
641	950310	529924
642	952254	528701
643	953898	527310
644	955455	525870
645	956923	524382
646	958307	522847
647	959092	520988
648	960464	519450
649	961970	517984
650	963542	516553
651	965610	515387
652	967175	513950
653	968780	512535
654	970543	511202
655	972034	509725
656	973376	508170
657	974468	506486
658	975785	504920
659	977250	503432
660	979302	502244
661	980266	500498
662	981140	498709
663	982409	497123
664	984039	495719
665	985443	494201
666	986829	492675
667	988767	491423
668	989995	489818
669	991283	488244
670	992660	486714
671	994008	485170
672	995638	483764
673	997180	482315
674	998311	480668
675	1000979	479759
676	1002445	478271
677	1003325	476505
678	1004107	474695
679	1005474	473164
680	1005996	471237
681	1007395	469723
682	1008520	468083
683	1009854	466540
684	1011530	465156
685	1013027	463688
686	1015117	462491
687	1016650	461039
688	1018550	459751
689	1019915	458222
690	1021589	456832
691	1023175	455401
692	1024669	453929
693	1026201	452474
694	1027670	450992
695	1029400	449623
696	1030838	448126
697	1032197	446595
698	1033307	444957
699	1034477	443347
700	1036342	442034
701	1037649	440483
702	1039091	438990
703	1040344	437417
704	1041649	435867
705	1043007	434340
706	1044195	432742
707	1045157	431053
708	1047360	429875
709	1049089	428501
710	1050960	427183
711	1051982	425520
712	1053494	424057
713	1054644	422448
714	1056264	421028
715	1057855	419596
716	1059878	418334
717	1061272	416823
718	1062690	415321
719	1064326	413904
720	1065649	412366
721	1066711	410728
722	1068188	409250
723	1070638	408143
724	1072030	406632
725	1073025	404971
726	1074274	403407
727	1075641	401888
728	1077076	400394
729	1078656	398955
730	1079825	397364
731	1081788	396064
732	1083724	394753
733	1084897	393164
734	1086233	391635
735	1088032	390272
736	1090108	389007
737	1091371	387451
738	1093278	386123
739	1094887	384690
740	1096141	383131
741	1097546	381626
742	1099446	380293
743	1100836	378782
744	1102338	377310
